longitude,latitude,class
5.32579,36.28955,1
5.26034,36.42695,1
5.25588,36.42573,1
4.47892,35.70771,1
0.33121,34.79892,1
5.84111,34.67455,1
5.84217,34.67804,1
5.84101,34.6742,1
5.86639,36.05551,1
6.938,36.27034,1
6.93532,36.27673,1
3.76291,36.37607,1
5.19964,36.61474,1
3.98012,36.73127,1
3.76069,36.36366,1
3.76004,36.36766,1
3.76438,36.3681,1
3.76368,36.37209,1
6.19276,36.59202,1
3.75936,36.37165,1
6.71923,36.54532,1
7.61843,36.20549,1
3.3279,36.75979,1
3.23435,36.62903,1
3.83097,36.36121,1
3.90921,36.34667,1
3.91038,36.34425,1
1.19552,36.13625,1
6.93841,34.58774,1
-0.21639,35.50798,1
3.77274,36.66059,1
3.8415,36.3949,1
3.84587,36.39551,1
3.84732,36.38886,1
7.16078,35.90922,1
7.16368,35.90795,1
7.15871,35.90359,1
7.16436,35.90425,1
4.4787,35.70708,1
3.77812,36.66463,1
2.7202,36.459,1
2.71705,36.45644,1
2.7218,36.45515,1
5.64338,36.46576,1
-0.30347,35.82695,1
6.35578,36.12593,1
6.33889,36.13015,1
6.35369,36.12764,1
6.34089,36.12848,1
5.8399,36.17798,1
5.84143,36.1811,1
5.24468,36.49199,1
5.95582,35.62622,1
5.94469,35.62498,1
5.95089,35.62184,1
5.9564,35.62244,1
5.95019,35.6256,1
7.64861,36.76314,1
5.47925,36.23695,1
4.47905,35.7066,1
4.75991,35.70867,1
5.78825,36.44619,1
5.51822,36.21532,1
2.02645,34.2228,1
2.02248,34.22306,1
2.6455,36.13566,1
2.02362,34.22519,1
2.02568,34.22094,1
2.7046,36.52143,1
5.51224,36.33555,1
2.02707,34.22291,1
2.02844,34.21899,1
-1.38712,35.15537,1
-1.38854,35.15381,1
2.02241,34.22192,1
2.03091,34.22208,1
6.02495,35.8716,1
2.75627,36.47402,1
4.99707,35.96627,1
7.70636,36.78717,1
2.89952,36.64063,1
6.94992,36.8633,1
5.30885,36.01536,1
6.15678,36.15048,1
6.33985,36.51742,1
7.1667,36.54636,1
5.95913,33.46371,1
5.96303,33.46397,1
6.21872,35.67649,1
6.63475,35.48531,1
6.63371,36.32096,1
6.21469,35.67693,1
6.21898,35.67717,1
6.21445,35.67623,1
6.63246,35.48905,1
6.37233,36.73657,1
6.3714,36.73798,1
5.91274,36.62318,1
5.91613,36.61886,1
5.91525,36.61931,1
6.88165,36.10749,1
5.99888,36.24401,1
-0.59455,35.51208,1
-0.47605,35.64326,1
-0.47539,35.64669,1
-0.2142,35.80339,1
3.166,36.54364,1
6.218,35.67912,1
6.21617,35.67888,1
5.98071,33.97805,1
5.98495,33.97849,1
2.61867,36.51438,1
3.25186,36.55001,1
5.00476,36.78865,1
3.26913,36.63007,1
3.13547,36.60116,1
7.41053,35.90685,1
7.36093,35.7683,1
6.025,35.86682,1
6.02924,35.86618,1
6.91742,35.10543,1
1.35598,35.33957,1
5.41432,34.78791,1
5.84418,34.67263,1
5.84001,34.67326,1
5.83928,34.66998,1
5.84345,34.66935,1
5.98221,33.98111,1
5.79417,36.75546,1
6.05429,36.61635,1
6.05069,36.6124,1
6.0552,36.613,1
6.01602,36.64939,1
6.04981,36.61576,1
5.08446,36.6184,1
5.0837,36.6217,1
3.2772,36.66705,1
8.19458,36.45554,1
6.5837,35.98243,1
-0.66685,35.08086,1
-0.66515,35.07818,1
-0.36605,35.82795,1
-0.7316,34.43621,1
2.85439,36.31324,1
6.02506,35.8711,1
7.39074,36.35527,1
8.18226,36.46133,1
7.38193,36.54974,1
7.38627,36.55064,1
7.3904,36.35533,1
8.06045,36.28894,1
8.05742,36.28899,1
7.23054,35.80378,1
7.23227,35.80405,1
7.12305,36.09427,1
7.12898,36.09021,1
1.20183,36.41027,1
7.12389,36.09512,1
7.12524,36.08927,1
6.6401,36.7173,1
6.05492,36.6748,1
6.76514,36.55581,1
6.7655,36.55696,1
1.35744,35.33838,1
6.91248,36.77959,1
7.48178,36.74759,1
7.48223,36.7426,1
-0.26343,35.75952,1
3.63013,36.1508,1
6.91005,36.77867,1
4.26068,36.69838,1
5.68784,35.1851,1
6.47347,36.50846,1
6.1237,36.51455,1
5.48454,36.23097,1
5.48876,36.23031,1
5.88749,34.43851,1
1.35522,35.33986,1
4.54853,36.56655,1
5.42461,36.60367,1
3.87981,36.30302,1
5.78603,36.26019,1
5.46769,36.18381,1
5.46838,36.18034,1
7.45031,36.36278,1
7.45639,36.36343,1
6.14287,36.15306,1
5.82139,35.9621,1
5.68763,35.18562,1
5.10841,34.39095,1
4.40927,36.67008,1
4.40489,36.66949,1
4.39607,36.66831,1
4.39167,36.66772,1
4.40415,36.67286,1
4.39531,36.67168,1
4.39973,36.67227,1
4.39905,36.67565,1
4.39464,36.67506,1
4.39684,36.66494,1
4.40565,36.66613,1
4.41002,36.66671,1
4.41437,36.6673,1
4.40125,36.66553,1
4.40641,36.66276,1
4.41512,36.66393,1
4.41079,36.66335,1
4.41589,36.66056,1
4.4115,36.65997,1
4.42027,36.66115,1
4.41226,36.6566,1
4.41666,36.65719,1
4.42106,36.65778,1
4.96839,36.64627,1
4.96905,36.64284,1
4.54395,36.56594,1
4.5449,36.56259,1
4.43371,36.90747,1
3.38539,36.68784,1
6.02478,35.86677,1
2.75749,36.67061,1
4.57631,36.53067,1
