longitude,latitude,class
6.78755,31.18779,1
6.78063,31.1898,1
0.46312,27.80008,1
6.78679,31.18933,1
6.79012,31.19012,1
8.64506,31.23896,1
8.00889,31.11298,1
8.36209,31.08012,1
7.91024,30.38979,1
3.63622,32.66412,1
5.00335,31.93871,1
6.04719,31.36095,1
6.05081,31.36182,1
5.86036,31.4983,1
6.18462,31.70435,1
5.00249,31.94287,1
2.05117,27.28929,1
6.98266,32.36338,1
6.98155,32.36023,1
6.78182,31.18695,1
5.98774,31.65263,1
7.02201,30.47705,1
7.02326,30.47522,1
8.25644,30.61157,1
8.26178,30.61126,1
8.2611,30.61054,1
8.2617,30.61673,1
5.7551,30.98285,1
6.78009,31.19108,1
6.78696,31.19078,1
6.78228,31.19368,1
6.04943,31.36017,1
6.04951,31.35885,1
5.97532,31.41064,1
5.96749,31.41092,1
6.46348,32.13976,1
6.47094,32.13951,1
6.46318,32.13933,1
6.47062,32.13905,1
7.46405,28.56508,1
7.51529,28.56477,1
8.83399,27.41392,1
7.85808,27.9231,1
7.86003,27.92233,1
7.85477,27.92265,1
6.4683,32.13577,1
7.02473,30.47365,1
8.25752,30.60934,1
8.26424,30.61375,1
8.25951,30.61498,1
6.05135,31.36046,1
6.78245,31.18741,1
6.7862,31.18648,1
4.99835,31.94158,1
6.19274,31.69634,1
6.06897,31.78375,1
6.98162,32.35889,1
7.61039,28.63606,1
7.85911,27.92063,1
0.46171,27.79801,1
0.46342,27.79727,1
9.51728,29.01116,1
7.26669,28.59787,1
8.08385,30.73514,1
5.00463,31.94033,1
4.99195,32.21916,1
7.02902,30.46837,1
7.02496,30.46807,1
6.79085,31.18468,1
6.78681,31.18438,1
6.79044,31.18629,1
6.78641,31.18601,1
8.03351,31.35253,1
8.03635,31.35211,1
5.99604,31.72724,1
5.78958,31.71135,1
5.00308,31.94145,1
6.97828,32.35322,1
6.98221,32.35908,1
6.64672,32.59695,1
6.46991,32.13517,1
6.98184,32.3604,1
7.86056,27.92284,1
7.02473,30.46976,1
7.02415,30.47213,1
8.25948,30.60955,1
8.26078,30.61391,1
6.78922,31.18733,1
6.78514,31.18818,1
6.04942,31.35916,1
4.99983,31.93986,1
6.19226,31.69692,1
0.46381,27.79872,1
7.86307,27.92078,1
0.4631,27.79734,1
6.46931,32.1328,1
5.95338,31.55937,1
6.78994,31.18967,1
6.7863,31.18514,1
8.35169,31.31498,1
8.36017,31.28854,1
8.36252,31.28631,1
8.647,31.23531,1
7.02578,30.47256,1
6.65488,30.17683,1
6.9828,32.35839,1
6.97883,32.35376,1
0.47399,35.7388,1
-0.34583,33.47398,1
4.99874,31.9408,1
6.47111,32.13527,1
6.98261,32.35818,1
9.13647,28.91568,1
7.0257,30.47214,1
8.26172,30.61186,1
6.78928,31.18865,1
6.7852,31.18933,1
6.05294,31.36081,1
5.82932,31.61812,1
6.04406,31.69638,1
0.46376,27.79842,1
5.19269,22.95729,1
2.04521,27.32189,1
9.10176,28.41483,1
9.1009,28.41362,1
6.78657,31.18796,1
6.2026,31.57197,1
7.15054,28.77787,1
4.9991,31.94147,1
6.64631,32.59586,1
4.74103,36.4124,1
0.80034,35.92949,1
6.24782,36.74946,1
6.0474,31.36806,1
6.78255,31.19298,1
6.78808,31.19267,1
8.26159,30.61288,1
8.25903,30.61555,1
8.26338,30.61524,1
7.02449,30.47719,1
7.02457,30.47562,1
6.23116,31.69956,1
6.98124,32.3643,1
6.97324,32.359,1
6.97878,32.3587,1
6.4688,32.13792,1
4.99619,31.9447,1
4.99796,31.94357,1
6.23137,31.69779,1
5.98746,31.65188,1
6.0429,31.36942,1
6.04854,31.36271,1
5.96974,31.4109,1
6.04128,31.36837,1
6.04694,31.36163,1
7.85844,27.92494,1
7.46403,28.56548,1
